617,292
1345,2013
1520,1579
1977,1132
42,540
2072,1897
159,634
524,1979
227,620
220,273
1037,2192
857,1118
1456,1451
1185,1089
2192,1525
755,403
1385,1853
369,140
719,813
1537,615
1645,481
1811,1566
876,2275
2131,1918
1237,916
1558,2163
1115,364
110,537
770,1325
17,63
1706,1706
837,1074
2262,2190
1984,1100
432,556
235,230
2006,1309
4,92
1118,813
1321,1084
913,852
1849,1535
1453,1023
2098,1586
831,49
1752,367
1923,1913
1825,1884
2012,1525
1579,1578
694,1020
1476,993
38,75
1261,766
1258,1977
420,634
186,490
497,1751
2226,2226
32,632
2124,2124
1992,565
454,454
1353,1826
1989,1752
197,634
759,1308
536,211
465,400
1011,1825
1225,1228
229,2138
103,2254
47,864
428,1089
589,364
1184,1247
910,1337
1646,1796
1635,727
2125,63
353,1637
2138,928
651,134
1558,2184
486,1132
2104,1634
1536,1197
236,416
1451,416
447,367
718,813
45,367
288,65
2040,1469
1652,485
1383,745
1873,63
655,61
191,375
498,938
2002,1123
54,1799
2080,1128
45,413
997,423
985,1123
114,355
1781,1837
1299,1295
2035,1600
1011,534
1393,579
564,476
1951,1657
1658,1846
1556,485
159,477
1617,349
136,115
1398,1970
1050,481
90,501
898,1133
1909,1213
270,354
1268,150
1034,1382
888,332
36,1467
375,191
1309,514
2125,1159
1576,1979
891,1656
1385,392
1371,289
2272,1197
2215,626
750,367
1512,1450
717,664
72,400
1523,476
59,358
94,296
1977,1123
1873,1185
272,1045
1897,1159
1666,1492
2118,1311
1670,432
39,423
1421,1344
1739,1947
1723,1968
460,634
1324,1042
493,536
459,13
635,1649
108,103
221,2162
1811,787
344,344
1663,292
1031,1127
1332,1456
223,63
1018,454
229,1778
1594,1681
399,238
242,26
2103,45
1129,1130
2025,1870
1635,1104
1334,528
9,163
1115,121
1981,1130
1969,2097
1021,626
900,908
266,452
1092,1361
1872,1915
812,761
1873,476
1991,2074
933,1777
1290,1127
1547,364
1493,356
1114,476
2134,1926
347,1361
1912,1613
1864,324
1889,512
2072,1469
1132,1435
1146,1946
2145,513
1111,1213
1229,1083
583,2179
1476,1439
1178,565
1654,64
236,478
288,122
780,1108
1251,1083
1462,485
1167,134
942,2006
1721,63
476,250
321,596
1811,1920
685,1469
1753,231
2085,2084
1257,121
368,1376
2074,389
588,634
462,1590
811,761
1873,1977
374,13
1052,708
896,267
1854,1850
204,13
1141,1310
50,485
1115,1084
606,513
158,284
2023,2245
1727,134
1000,1117
1283,731
1139,1139
645,137
1210,1305
358,59
194,242
518,228
2012,1811
1905,1846
1633,367
245,2013
1047,1299
1190,1175
413,476
436,93
2073,1807
505,513
1003,994
317,233
1376,1288
939,1437
994,626
1850,476
1757,1756
136,136
1450,930
1552,1654
1585,1595
168,636
1558,463
951,1441
457,1012
1979,1979
2089,476
2182,477
288,308
818,954
313,513
1509,2034
1468,1224
1468,793
2204,1407
1422,1922
119,1136
50,1295
912,860
2011,513
762,1270
1063,1111
103,105
1633,1725
1501,632
968,1123
281,634
392,21
1741,1616
1029,719
485,37
1873,993
1305,1026
2002,882
1218,1214
2044,1841
550,2101
1436,528
1157,1136
1451,627
332,375
688,1298
1867,1686
832,906
2032,1170
1146,250
697,191
1797,234
1873,70
1151,497
1632,533
839,1044
1954,2068
729,1548
103,108
476,400
1509,1508
2205,1077
487,212
1797,1797
633,13
695,511
520,413
637,400
1594,1407
1635,1846
1766,2197
21,2234
407,465
622,421
583,2181
378,1632
1389,1111
1419,1419
1679,2122
1808,2222
1803,63
1036,1274
465,2097
230,289
154,651
1207,1324
228,518
264,63
1804,1798
2005,492
794,854
493,211
876,514
8,414
538,543
1799,476
537,537
463,497
2143,715
223,561
2176,115
277,284
482,634
855,1345
370,365
195,228
202,2233
1516,1534
908,1302
1097,1361
644,644
87,476
52,202
1752,2166
1195,1244
1366,952
2026,492
1064,933
1559,1364
446,904
155,422
1152,1361
437,1967
715,476
1072,355
428,211
1122,1341
2063,60
2149,530
1565,2181
996,2047
1259,115
1306,968
1532,1590
598,135
576,532
462,465
839,1244
632,1611
2160,367
2099,842
707,1550
364,1730
1136,1156
1863,243
1955,1062
679,1240
645,2256
645,1473
2214,2047
248,645
1752,432
836,137
532,367
1064,1777
430,556
74,607
1913,1060
2251,1030
149,323
285,477
1981,1385
2143,477
1090,134
1553,1551
1365,267
1135,304
391,465
1999,729
1613,1627
19,1170
484,715
577,1324
208,250
2024,2024
1873,423
620,537
2027,105
1514,1534
1697,53
1683,1704
1737,367
1378,1172
1240,478
286,392
1873,1264
1850,51
32,218
1331,950
119,45
1246,1246
964,963
716,995
658,1240
581,173
246,1635
1136,1136
157,135
632,632
2004,363
666,666
658,138
643,323
1751,93
611,465
670,1287
1355,480
1289,729
952,937
211,64
1920,1551
293,293
1413,848
952,2275
2039,561
1796,1650
801,1045
601,418
1735,1809
988,1294
829,650
504,634
78,634
1635,2033
1658,1883
1286,561
1633,1341
1725,1341
1296,996
657,283
2211,1960
1539,1539
1464,1464
855,63
1101,827
2143,476
1153,1250
421,3
895,1124
1822,1622
650,1344
1553,1553
2093,250
2024,1670
715,465
1092,565
182,634
756,134
1921,1926
1635,2225
1850,2090
2000,1859
937,455
1215,1264
2150,1535
2039,2007
1011,2090
257,986
741,848
1656,331
1451,60
360,470
921,115
543,1572
82,517
1137,876
2209,579
2096,1962
51,476
1155,995
133,199
1983,2124
1083,1082
365,256
1752,2024
1633,908
238,399
1552,477
1673,1862
900,899
954,811
1510,1970
1009,1295
1896,816
1202,1071
1275,942
1041,1208
1656,891
449,634
227,395
344,364
951,1240
119,395
862,389
402,1724
256,369
827,217
996,2064
1697,2032
2065,1921
2000,1858
108,634
849,1341
333,13
86,86
496,311
1906,1450
0,219
2,476
1922,2211
1306,750
660,21
2234,392
1823,1823
1974,63
509,569
1828,1464
2072,134
1400,63
1776,1302
1241,565
1396,1396
991,988
1020,942
866,1128
1665,479
1510,1450
1768,1697
2213,1577
2002,363
1785,2137
1315,476
185,530
968,1246
1157,1156
326,1040
1603,1060
1385,367
1073,367
847,1846
704,1901
2080,1045
1743,347
1113,513
1980,75
276,2163
1050,1295
2080,366
431,478
1553,1752
45,192
435,442
1200,1216
1835,2182
2040,561
427,91
1558,93
100,192
347,1374
1656,91
561,264
486,280
315,465
1159,2007
1683,240
1527,1873
1104,854
1344,766
126,1441
60,63
674,1408
1455,1455
1560,823
599,211
1966,632
753,667
187,579
1276,1309
820,790
1622,21
1272,513
1817,2124
1020,1275
779,778
599,13
1277,879
2027,108
470,360
1953,2197
926,854
749,1094
842,842
286,21
1866,995
1192,802
1357,933
1578,473
577,137
2095,1883
542,629
2164,1632
1549,432
1593,1364
1028,1117
2097,477
1656,524
636,465
1458,1401
1180,719
299,634
34,465
2019,32
1371,1121
2047,1407
1249,719
1043,1179
1244,1288
1146,787
550,3
1975,2175
1049,1299
1734,432
1647,293
153,296
332,121
1080,492
442,389
667,63
1650,560
1090,1233
531,1097
2122,480
1369,349
116,117
1124,367
2234,565
2114,2112
1722,473
1011,274
150,1861
1352,908
431,250
631,1735
469,1995
1289,1123
1336,1430
1612,1611
238,292
645,961
890,967
1487,476
730,485
412,632
659,451
213,250
2002,1977
1068,1475
1683,1560
2109,49
1339,1338
969,1370
2081,367
1037,1036
1570,1567
2041,1634
561,2008
694,692
2021,556
1348,552
430,425
645,1140
152,512
1201,1201
1365,1048
2080,486
2142,1426
1669,1947
1209,2179
1520,3
1425,627
1264,548
852,485
737,1295
227,18
42,490
888,193
364,364
551,1351
759,1144
1560,102
1439,1410
478,54
806,813
1076,1104
1263,941
1635,919
1326,1327
208,1064
2249,1551
1920,967
994,473
646,2052
1393,928
1553,1670
753,1185
252,684
1941,2013
706,706
1044,1302
2080,908
2126,2013
1708,1707
2250,2035
479,413
1676,101
1693,57
358,996
1259,2148
12,487
1998,1838
159,250
1489,1861
484,476
103,16
1753,134
863,916
950,1298
239,725
2160,579
2255,1352
25,366
744,2047
885,569
372,219
286,620
2066,2071
2220,2220
175,1973
1456,627
1538,1708
1574,1574
1559,86
1656,1940
1673,1859
2059,79
448,1211
1552,471
95,525
1815,1469
615,950
1184,143
692,693
1873,1208
998,1147
2062,2181
2101,476
1093,1093
903,904
2153,2051
831,680
990,797
237,1623
1632,908
149,643
316,75
328,478
1309,1312
904,1062
29,211
1578,1704
2074,392
872,1117
550,2239
468,1995
1454,32
440,345
494,250
1156,2234
545,416
531,531
1647,1968
627,134
30,471
856,956
1128,1132
1162,921
794,1409
1528,2254
572,26
1410,2182
1627,1611
2025,2025
21,93
486,134
645,1380
450,571
1106,528
83,645
1808,1962
564,473
70,34
2194,2217
1106,1364
221,1302
501,568
1831,1276
2051,271
1873,74
277,280
386,543
864,1129
2060,1606
1995,1742
1393,533
2189,2165
477,400
1479,854
312,476
33,474
1398,787
1347,1364
142,1240
750,375
728,1040
416,250
725,1947
1113,2072
1397,1012
1796,1803
1231,862
574,341
1240,465
1757,1755
1089,1362
600,375
545,844
1181,1181
755,1164
1852,1534
1949,813
18,537
177,144
2122,2206
1572,1632
714,1315
1011,1949
1972,1973
1560,57
1264,392
1825,1850
2263,1573
833,1147
1378,967
427,92
1504,2109
490,492
1140,1044
1127,487
2121,1897
1214,568
2273,2033
1913,1915
1756,925
493,364
1644,2029
1560,824
558,250
1180,864
1148,1404
757,92
315,473
392,480
1298,1298
1184,84
1162,2266
97,117
43,490
561,513
543,634
2235,63
1702,2028
2173,857
2182,75
1850,473
636,416
2084,2163
944,22
1567,1973
253,465
1046,791
2218,2180
996,275
1289,665
715,477
1033,1441
902,687
2040,1159
148,634
681,937
883,1053
1021,1412
328,476
1129,2081
509,411
1367,1343
1033,1442
693,491
1775,1846
299,364
758,1337
1381,1380
903,1062
1694,1478
2080,278
854,854
1578,465
1694,1127
401,477
2145,134
621,477
1681,2253
1200,1123
828,877
561,63
761,986
831,1515
2018,293
1383,476
1375,719
626,465
1288,1288
794,616
1978,1805
434,113
1917,1904
439,513
386,804
1631,1538
558,364
746,589
1348,1348
588,1684
1063,1778
1393,74
99,476
737,481
1218,90
257,363
1696,1467
486,1044
478,406
268,634
996,392
1158,684
1635,1198
1185,2080
971,1328
367,1341
758,1336
895,1276
489,1275
805,989
1175,1176
1706,617
1114,745
2158,367
672,673
1635,1883
1487,1575
1029,1128
156,454
876,937
2250,476
129,1364
465,401
2002,364
155,403
635,116
386,2161
1153,666
2149,1309
214,14
663,1123
753,1088
2237,2213
1617,49
1446,192
1240,477
1915,1927
641,413
576,367
856,953
1256,989
537,93
2026,2006
2003,72
105,105
1729,1828
550,1686
977,367
1922,1908
1360,879
2160,1665
1354,679
338,292
1480,751
1909,1909
325,1980
1366,1309
1011,34
1321,364
1218,921
663,1548
2209,367
2121,2008
241,241
2097,476
705,1454
1677,1677
1444,989
1873,465
2189,1113
1173,1299
710,1268
1840,1839
397,364
351,513
816,820
259,465
1332,1451
1811,1525
550,829
715,2239
645,36
1235,447
196,499
1787,1973
637,1334
2002,1073
941,141
1977,378
1063,1072
1546,1764
30,476
891,524
1160,492
1315,1170
2187,533
1854,1672
1005,870
334,512
784,1332
723,989
730,683
701,769
1859,1858
719,718
1969,406
2177,2030
625,1730
2212,2201
1121,2056
964,768
46,1441
199,367
1260,780
580,628
2133,1837
1380,664
246,1883
1111,1072
2002,1129
1011,1002
1354,476
119,1153
1989,513
654,296
1890,115
2084,119
1160,323
859,1083
1710,1604
1472,83
1371,817
630,2240
816,1170
261,623
103,103
2040,2007
736,736
1147,1147
353,117
1162,115
1072,1111
1252,742
649,634
1250,1420
1834,1121
1079,2087
646,579
625,634
1106,531
1116,304
1638,1847
1437,1147
1919,63
421,416
619,619
1731,1828
8,262
1915,1060
583,579
841,827
2176,1558
964,1397
1362,1242
260,813
2269,565
1244,882
1266,846
463,565
1878,1909
1846,1996
2,406
93,537
209,1121
2088,1901
1609,2070
1184,854
2,348
126,396
1860,1926
1678,2137
56,617
729,729
1652,1636
426,1980
1586,1585
894,2114
629,542
655,632
1340,367
492,1276
1420,389
616,854
823,1672
264,634
275,14
489,490
2002,1130
739,481
1512,1516
1377,1341
1061,481
1977,1124
512,364
1556,1550
2236,1691
25,363
1700,480
1729,1716
1980,224
513,607
968,1020
514,530
1307,486
1422,161
487,464
1057,785
513,513
572,28
238,1302
66,134
506,930
922,1063
2257,2190
2163,212
1537,1210
25,272
1048,889
995,101
1124,1435
1591,2239
1797,483
786,212
1008,1324
855,134
1098,1184
1974,2011
479,715
390,454
1110,1056
1434,936
1797,1706
1650,63
1203,1284
1949,250
963,1617
2122,2084
82,2269
534,250
1505,513
1553,797
2225,324
2191,927
131,250
975,1276
576,1591
1929,1544
2255,1725
238,1121
355,627
1189,1185
497,463
486,870
436,463
561,901
1393,1123
1422,1694
2226,2087
1120,987
1133,364
1868,1892
640,380
761,766
1192,473
250,250
1011,416
867,986
1407,2047
260,476
